date,temperature,humidity,luminosity
2023-12-07 15:48:49.743,21.3,35.4,102
2023-12-07 15:48:48.740,21.3,35.4,102
2023-12-07 15:48:47.732,21.3,35.4,102
2023-12-07 15:48:46.732,21.3,35.4,102
2023-12-07 15:48:45.724,21.3,35.4,102
2023-12-07 15:48:44.721,21.3,35.4,102
2023-12-07 15:48:43.713,21.3,35.3,102
2023-12-07 15:48:42.714,21.3,35.3,104
2023-12-07 15:48:41.706,21.3,35.3,104
2023-12-07 15:48:40.702,21.3,35.3,102
2023-12-07 15:48:39.695,21.3,35.2,102
2023-12-07 15:48:38.695,21.3,35.2,102
2023-12-07 15:48:37.687,21.3,35.0,102
2023-12-07 15:48:36.684,21.3,35.0,103
2023-12-07 15:48:35.676,21.3,35.0,102
2023-12-07 15:48:34.676,21.3,35.0,100
2023-12-07 15:48:33.669,21.3,35.0,101
2023-12-07 15:48:32.665,21.3,35.0,102
2023-12-07 15:48:31.658,21.3,35.0,103
2023-12-07 15:48:30.658,21.3,35.0,103
2023-12-07 15:48:29.650,21.3,35.0,103
2023-12-07 15:48:28.647,21.3,35.0,102
2023-12-07 15:48:27.639,21.3,35.0,102
2023-12-07 15:48:26.639,21.3,35.0,103
2023-12-07 15:48:25.632,21.3,35.0,102
2023-12-07 15:48:24.628,21.3,35.0,103
2023-12-07 15:48:23.620,21.3,35.0,103
2023-12-07 15:48:22.620,21.3,35.0,102
2023-12-07 15:48:21.613,21.3,35.0,102
2023-12-07 15:48:20.609,21.3,35.0,103
2023-12-07 15:48:19.600,21.3,35.0,102
2023-12-07 15:48:18.601,21.3,35.0,102
2023-12-07 15:48:17.593,21.3,35.0,102
2023-12-07 15:48:16.590,21.3,35.0,102
2023-12-07 15:48:15.582,21.3,35.0,102
2023-12-07 15:48:14.582,21.3,35.0,102
2023-12-07 15:48:13.575,21.3,35.0,102
2023-12-07 15:48:12.571,21.3,35.0,102
2023-12-07 15:48:11.563,21.4,35.2,103
2023-12-07 15:48:10.564,21.4,35.2,103
2023-12-07 15:48:09.556,21.3,35.1,103
2023-12-07 15:48:08.552,21.3,35.1,102
2023-12-07 15:48:07.545,21.3,35.1,103
2023-12-07 15:48:06.545,21.3,35.1,103
2023-12-07 15:48:05.537,21.3,35.1,102
2023-12-07 15:48:04.534,21.3,35.1,102
2023-12-07 15:48:03.526,21.3,35.2,102
2023-12-07 15:48:02.526,21.3,35.2,101
2023-12-07 15:48:01.519,21.3,35.2,101
2023-12-07 15:48:00.515,21.3,35.2,102
2023-12-07 15:47:59.508,21.3,35.2,101
2023-12-07 15:47:58.508,21.3,35.2,103
2023-12-07 15:47:57.501,21.3,35.2,102
2023-12-07 15:47:56.497,21.3,35.2,103
2023-12-07 15:47:55.489,21.3,35.2,102
2023-12-07 15:47:54.489,21.3,35.2,103
2023-12-07 15:47:53.482,21.3,35.3,103
2023-12-07 15:47:52.478,21.3,35.3,103
2023-12-07 15:47:51.470,21.3,35.3,103
2023-12-07 15:47:50.471,21.3,35.3,103
2023-12-07 15:47:49.463,21.3,35.4,103
2023-12-07 15:47:48.459,21.3,35.4,103
2023-12-07 15:47:47.452,21.3,35.4,103
2023-12-07 15:47:46.452,21.3,35.4,103
2023-12-07 15:47:45.445,21.3,35.4,103
2023-12-07 15:47:44.441,21.3,35.4,103
2023-12-07 15:47:43.433,21.3,35.5,103
2023-12-07 15:47:42.433,21.3,35.5,103
2023-12-07 15:47:41.426,21.3,35.5,103
2023-12-07 15:47:40.422,21.3,35.5,103
2023-12-07 15:47:39.414,21.3,35.4,103
2023-12-07 15:47:38.415,21.3,35.4,103
2023-12-07 15:47:37.407,21.3,34.9,103
2023-12-07 15:47:36.404,21.3,34.9,103
2023-12-07 15:47:35.396,21.3,34.9,103
2023-12-07 15:47:34.396,21.3,34.9,103
2023-12-07 15:47:33.388,21.3,34.8,103
2023-12-07 15:47:32.385,21.3,34.8,103
2023-12-07 15:47:31.377,21.3,34.8,103
2023-12-07 15:47:30.378,21.3,34.8,103
2023-12-07 15:47:29.370,21.3,34.8,103
2023-12-07 15:47:28.366,21.3,34.8,104
2023-12-07 15:47:27.359,21.3,34.8,103
2023-12-07 15:47:26.359,21.3,34.8,103
2023-12-07 15:47:25.351,21.3,34.8,103
2023-12-07 15:47:24.348,21.3,34.8,103
2023-12-07 15:47:23.340,21.3,34.8,104
2023-12-07 15:47:22.340,21.3,34.8,104
2023-12-07 15:47:21.333,21.3,34.8,103
2023-12-07 15:47:20.328,21.3,34.8,104
2023-12-07 15:47:19.321,21.3,34.8,104
2023-12-07 15:47:18.321,21.3,34.8,104
2023-12-07 15:47:17.314,21.3,34.8,104
2023-12-07 15:47:16.310,21.3,34.8,104
2023-12-07 15:47:15.302,21.3,34.8,103
2023-12-07 15:47:14.302,21.3,34.8,104
2023-12-07 15:47:13.295,21.3,34.8,103
